teamname,teamwebsite,otherwebsite,teamnameshort,sportid,eventgroupid,sport,jsonobject,secretsheader
Detroit Lions,https://www.detroitlions.com/,https://nfl.com/teams/detroit-lions/,Lions,1,88808,NFL,"{""teamname"": ""Detroit Lions"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.detroitlions.com/""}",team_list_NFL_Lions
Green Bay Packers,https://www.packers.com/,https://nfl.com/teams/green-bay-packers/,Packers,1,88808,NFL,"{""teamname"": ""Green Bay Packers"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.packers.com/""}",team_list_NFL_Packers
Los Angeles Rams,https://www.therams.com/,https://nfl.com/teams/los-angeles-rams/,Rams,1,88808,NFL,"{""teamname"": ""Los Angeles Rams"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.therams.com/""}",team_list_NFL_Rams
Minnesota Vikings,https://www.vikings.com/,https://nfl.com/teams/minnesota-vikings/,Vikings,1,88808,NFL,"{""teamname"": ""Minnesota Vikings"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.vikings.com/""}",team_list_NFL_Vikings
New Orleans Saints,https://www.neworleanssaints.com/,https://nfl.com/teams/new-orleans-saints/,Saints,1,88808,NFL,"{""teamname"": ""New Orleans Saints"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.neworleanssaints.com/""}",team_list_NFL_Saints
New York Giants,https://www.giants.com/,https://nfl.com/teams/new-york-giants/,Giants,1,88808,NFL,"{""teamname"": ""New York Giants"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.giants.com/""}",team_list_NFL_Giants
Philadelphia Eagles,https://www.philadelphiaeagles.com/,https://nfl.com/teams/philadelphia-eagles/,Eagles,1,88808,NFL,"{""teamname"": ""Philadelphia Eagles"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.philadelphiaeagles.com/""}",team_list_NFL_Eagles
San Francisco 49ers,https://www.49ers.com/,https://nfl.com/teams/san-francisco-49ers/,49ers,1,88808,NFL,"{""teamname"": ""San Francisco 49ers"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.49ers.com/""}",team_list_NFL_49ers
Seattle Seahawks,https://www.seahawks.com/,https://nfl.com/teams/seattle-seahawks/,Seahawks,1,88808,NFL,"{""teamname"": ""Seattle Seahawks"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.seahawks.com/""}",team_list_NFL_Seahawks
Tampa Bay Buccaneers,https://www.buccaneers.com/,https://nfl.com/teams/tampa-bay-buccaneers/,Buccaneers,1,88808,NFL,"{""teamname"": ""Tampa Bay Buccaneers"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.buccaneers.com/""}",team_list_NFL_Buccaneers
Washington Commanders,https://www.commanders.com/,https://nfl.com/teams/washington-commanders/,Commanders,1,88808,NFL,"{""teamname"": ""Washington Commanders"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.commanders.com/""}",team_list_NFL_Commanders
Baltimore Ravens,https://www.baltimoreravens.com/,https://nfl.com/teams/baltimore-ravens/,Ravens,1,88808,NFL,"{""teamname"": ""Baltimore Ravens"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.baltimoreravens.com/""}",team_list_NFL_Ravens
Buffalo Bills,https://www.buffalobills.com/,https://nfl.com/teams/buffalo-bills/,Bills,1,88808,NFL,"{""teamname"": ""Buffalo Bills"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.buffalobills.com/""}",team_list_NFL_Bills
Cincinnati Bengals,https://www.bengals.com/,https://nfl.com/teams/cincinnati-bengals/,Bengals,1,88808,NFL,"{""teamname"": ""Cincinnati Bengals"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.bengals.com/""}",team_list_NFL_Bengals
Cleveland Browns,https://www.clevelandbrowns.com/,https://nfl.com/teams/cleveland-browns/,Browns,1,88808,NFL,"{""teamname"": ""Cleveland Browns"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.clevelandbrowns.com/""}",team_list_NFL_Browns
Denver Broncos,https://www.denverbroncos.com/,https://nfl.com/teams/denver-broncos/,Broncos,1,88808,NFL,"{""teamname"": ""Denver Broncos"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.denverbroncos.com/""}",team_list_NFL_Broncos
Houston Texans,https://www.houstontexans.com/,https://nfl.com/teams/houston-texans,Texans,1,88808,NFL,"{""teamname"": ""Houston Texans"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.houstontexans.com/""}",team_list_NFL_Texans
Indianapolis Colts,https://www.colts.com/,https://nfl.com/teams/indianapolis-colts,Colts,1,88808,NFL,"{""teamname"": ""Indianapolis Colts"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.colts.com/""}",team_list_NFL_Colts
Jacksonville Jaguars,https://www.jaguars.com/,https://nfl.com/teams/jacksonville-jaguars/,Jaguars,1,88808,NFL,"{""teamname"": ""Jacksonville Jaguars"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.jaguars.com/""}",team_list_NFL_Jaguars
Kansas City Chiefs,https://www.chiefs.com/,https://nfl.com/teams/kansas-city-chiefs/,Chiefs,1,88808,NFL,"{""teamname"": ""Kansas City Chiefs"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.chiefs.com/""}",team_list_NFL_Chiefs
Las Vegas Raiders,https://www.raiders.com/,https://nfl.com/teams/las-vegas-raiders/,Raiders,1,88808,NFL,"{""teamname"": ""Las Vegas Raiders"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.raiders.com/""}",team_list_NFL_Raiders
Los Angeles Chargers,https://www.chargers.com/,https://nfl.com/teams/los-angeles-chargers/,Chargers,1,88808,NFL,"{""teamname"": ""Los Angeles Chargers"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.chargers.com/""}",team_list_NFL_Chargers
Miami Dolphins,https://www.miamidolphins.com/,https://nfl.com/teams/miami-dolphins/,Dolphins,1,88808,NFL,"{""teamname"": ""Miami Dolphins"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.miamidolphins.com/""}",team_list_NFL_Dolphins
New England Patriots,https://www.patriots.com/,https://nfl.com/teams/new-england-patriots/,Patriots,1,88808,NFL,"{""teamname"": ""New England Patriots"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.patriots.com/""}",team_list_NFL_Patriots
New York Jets,https://www.newyorkjets.com/,https://nfl.com/teams/new-york-jets/,Jets,1,88808,NFL,"{""teamname"": ""New York Jets"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.newyorkjets.com/""}",team_list_NFL_Jets
Pittsburgh Steelers,https://www.steelers.com/,https://nfl.com/teams/pittsburgh-steelers/,Steelers,1,88808,NFL,"{""teamname"": ""Pittsburgh Steelers"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.steelers.com/""}",team_list_NFL_Steelers
Tennessee Titans,https://www.tennesseetitans.com/,https://nfl.com/teams/tennessee-titans/,Titans,1,88808,NFL,"{""teamname"": ""Tennessee Titans"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.tennesseetitans.com/""}",team_list_NFL_Titans
